,Unnamed: 0,Mô tả,text_cleaned
0,0,"bán lô đất phố tây cực hiếm. + khu phố tây quy hoạch để xây khách sạn. + đi bộ 3 bước ra biển. + cả dãy không có nhà nào bán. + giá cực thấp so với thị trường. + chủ cần bán nhanh, có khách chốt ngay.","bán lô đất phố tây cực hiếm. khu phố tây quy hoạch để xây khách sạn. đi bộ 3 bước ra biển. cả dãy không có nhà nào bán. giá cực thấp so với thị trường. chủ cần bán nhanh, có khách chốt ngay."
1,1,"toà nhà mở cửa ra là sinh ra tiền ngay tại mặt đường huỳnh tấn phát+ diện tích lớn gần 200m2. toà nhà 5 tầng, thang máy.+ mặt rộng 10m, vỉa hè rộng.+ 18 phòng sinh ra tiền hàng tỷ đồng/năm.+ trung tâm quận hải châu, gần đầy đủ tiện nghi, an sinh xã hội, kinh doanh nhiều loại hình.+ hệ thống pccc hiện đại.","toà nhà mở cửa ra là sinh ra tiền ngay tại mặt đường huỳnh tấn phát diện tích lớn gần 200m2. toà nhà 5 tầng, thang máy. mặt rộng 10m, vỉa hè rộng. 18 phòng sinh ra tiền hàng tỷ đồng/năm. trung tâm quận hải châu, gần đầy đủ tiện nghi, an sinh xã hội, kinh doanh nhiều loại hình. hệ thống pccc hiện đại."
2,2,"bán siêu phẩm duy nhất 3 lô đất tại đường 30/4.+ tuyệt phẩm duy nhất hơn 400m2 đất ở tại đô thị 100%.+ pháp lý rõ ràng.+ cung đường rất rộng, phù hợp xây dựng toà nhà văn phòng, nhà hàng, toà căn hộ, khách sạn...+ giá bán thấp nhất thị trường hiện nay.+ chủ thiện chí bán, sổ công chứng ngay.","bán siêu phẩm duy nhất 3 lô đất tại đường 30/4. tuyệt phẩm duy nhất hơn 400m2 đất ở tại đô thị 100 . pháp lý rõ ràng. cung đường rất rộng, phù hợp xây dựng toà nhà văn phòng, nhà hàng, toà căn hộ, khách sạn ... giá bán thấp nhất thị trường hiện nay. chủ thiện chí bán, sổ công chứng ngay."
3,3,"bán lô đất gần 1000m2 view mặt đảo xanh sông hàn đà nẵng. + diện tích rộng gần 1000m2, phù hợp xây nhà hàng, khách sạn, bar, spa, tòa căn phòng... + được xây full 100% đất.  + vị trí đắc địa, phố đi bộ tương lai.  + hàng ngày nhìn vào khu nhà giàu. + khu đất đắc địa siêu hiếm còn sót lạigiá sập bất ngờ chỉ: 140 tỷ.","bán lô đất gần 1000m2 view mặt đảo xanh sông hàn đà nẵng. diện tích rộng gần 1000m2, phù hợp xây nhà hàng, khách sạn, bar, spa, tòa căn phòng ... được xây full 100 đất. vị trí đắc địa, phố đi bộ tương lai. hàng ngày nhìn vào khu nhà giàu. khu đất đắc địa siêu hiếm còn sót lại giá sập bất ngờ chỉ 140 tỷ."
4,4,"bán lô đất ngay cạnh cầu trần thị lý hàng xóm dãy shophouse của sungroup đang triển khai. diện tích khủng 190m, rộng 10m. 💥 vị trí đắc địa, hiếm nhà bán, giá rẻ nhất khu vực, mặt tiền 10m. ngay sát cầu trần thị lý, 500m ra bãi tắm mỹ khê, 70m ra cầu trần thị lý, đi bộ ra sông hàn. cách vài bước chân ra khu euro village và monarchy đà nẵng.💥 nhà được cấp phép xây dựng 7 tầng, pháp lý rõ ràng, hiện đang cho thuê đất để kinh doanh 15tr/1 tháng.💥 sổ đỏ chính chủ, vuông đẹp. giá sập chỉ còn 11tỷ (giá cũ 15 tỷ).","bán lô đất ngay cạnh cầu trần thị lý hàng xóm dãy shophouse của sungroup đang triển khai. diện tích khủng 190m, rộng 10m. vị trí đắc địa, hiếm nhà bán, giá rẻ nhất khu vực, mặt tiền 10m. ngay sát cầu trần thị lý, 500m ra bãi tắm mỹ khê, 70m ra cầu trần thị lý, đi bộ ra sông hàn. cách vài bước chân ra khu euro village và monarchy đà nẵng. nhà được cấp phép xây dựng 7 tầng, pháp lý rõ ràng, hiện đang cho thuê đất để kinh doanh 15tr/1 tháng. sổ đỏ chính chủ, vuông đẹp. giá sập chỉ còn 11 tỷ (giá cũ 15 tỷ)."
5,5,"khách sạn nằm trên đường phạm văn đồng cách biển 1km, cách sông hàn 600m. vị trí cực đẹp, khách đông ngày đêm.+ diện tích đất 375m2.+ tổng 90p hiện đang thuê đơn vị thái lan vận hành.+ có bể bơi view biển, view sông hàn.+ có hệ thống nhà hàng, phòng hội nghị và các tiện ích đi kèm cao cấp chuẩn 4*.+ để lại toàn bộ tài sản và 1 xe limmoutin đưa đón khách sân bay+ sổ nhờ ngân hàng giữ hộ.+ chủ thiện chí bán giá 200 tỷ.","khách sạn nằm trên đường phạm văn đồng cách biển 1km, cách sông hàn 600m. vị trí cực đẹp, khách đông ngày đêm. diện tích đất 375m2. tổng 90p hiện đang thuê đơn vị thái lan vận hành. có bể bơi view biển, view sông hàn. có hệ thống nhà hàng, phòng hội nghị và các tiện ích đi kèm cao cấp chuẩn 4 * . để lại toàn bộ tài sản và 1 xe limmoutin đưa đón khách sân bay sổ nhờ ngân hàng giữ hộ. chủ thiện chí bán giá 200 tỷ."
6,6,"toà nhà sát ven biển đà nẵng 800 m2 thanh khê, đang kinh doanh có doanh thu lớn, trên dưới 12 tỷ/ năm. + 1 tầng hầm để xe. + 6 tầng kiên cố. vị trí kinh doanh và doanh thu cực khủng. + móng được phép xây đến 10 tầng nếu muốn. + bán rẻ đất + tặng nhà xây tầm 30 tỷ. + diện tích 800m2. + nơi tổ chức các sự kiện hoành tráng bậc nhất đà nẵng. + vị trí số 1, view biển. sức chứa 1 tầng 1.500 người, phù hợp với các công ty tài chính, kinh doanh khách sạn, doanh nghiệp, tổ chức sự kiện… + 6 lô liên tiếp. + giá cực mềm: giảm 60 tỷ bán gấp chỉ còn 150 tỷ. thương lượng thêm. tiếp khách thực, đúng khách được chọn lọc.","toà nhà sát ven biển đà nẵng 800 m2 thanh khê, đang kinh doanh có doanh thu lớn, trên dưới 12 tỷ/ năm. 1 tầng hầm để xe. 6 tầng kiên cố. vị trí kinh doanh và doanh thu cực khủng. móng được phép xây đến 10 tầng nếu muốn. bán rẻ đất tặng nhà xây tầm 30 tỷ. diện tích 800m2. nơi tổ chức các sự kiện hoành tráng bậc nhất đà nẵng. vị trí số 1, view biển. sức chứa 1 tầng 1.500 người, phù hợp với các công ty tài chính, kinh doanh khách sạn, doanh nghiệp, tổ chức sự kiện... 6 lô liên tiếp. giá cực mềm giảm 60 tỷ bán gấp chỉ còn 150 tỷ. thương lượng thêm. tiếp khách thực, đúng khách được chọn lọc."
7,7,"bán đất tặng nhà mặt tiền lê văn hiến diện tích lớn, giá sập nguồn giảm hơn 10 tỷ+ mặt phố lớn, diện tích rộng, vỉa hè 6m, kinh doanh sầm uất.+ bán đất tặng nhà 3 tầng xây chắc chắn.+ vài trăm mét đi bộ ra biển, sát bệnh viện phụ sản - nhi đà nẵng, nhà văn hoá quận ngũ hành sơn.+ phù hợp đầu tư giữ tiền tăng giá, vị trí xây toà căn hộ, khách sạn, toà nhà văn phòng.+ sổ chính chủ, pháp lý rõ ràng, công chứng ngay.","bán đất tặng nhà mặt tiền lê văn hiến diện tích lớn, giá sập nguồn giảm hơn 10 tỷ mặt phố lớn, diện tích rộng, vỉa hè 6m, kinh doanh sầm uất. bán đất tặng nhà 3 tầng xây chắc chắn. vài trăm mét đi bộ ra biển, sát bệnh viện phụ sản nhi đà nẵng, nhà văn hoá quận ngũ hành sơn. phù hợp đầu tư giữ tiền tăng giá, vị trí xây toà căn hộ, khách sạn, toà nhà văn phòng. sổ chính chủ, pháp lý rõ ràng, công chứng ngay."
8,8,"bán 620m2 đất mặt đường phan châu trinh trung tâm phố cổ đà nẵng+ diện tích đất rộng hơn 618m2, ngang rộng 15m. đường dài kéo dọc thành phố.+ trung tâm phố cổ hải châu đà nẵng, nơi tập trung trung tâm chính trị, đông đúc khách du lịch.+ phù hợp xây khách sạn lớn giữa phố cổ, trung tâm tài chính, toà văn phòng...+ giá bán gần ngang với giá ngân hàng định giá.+ rẻ hơn so với thị trường hớn 30%","bán 620m2 đất mặt đường phan châu trinh trung tâm phố cổ đà nẵng diện tích đất rộng hơn 618m2, ngang rộng 15m. đường dài kéo dọc thành phố. trung tâm phố cổ hải châu đà nẵng, nơi tập trung trung tâm chính trị, đông đúc khách du lịch. phù hợp xây khách sạn lớn giữa phố cổ, trung tâm tài chính, toà văn phòng... giá bán gần ngang với giá ngân hàng định giá. rẻ hơn so với thị trường hớn 30"
9,9,"💥💥 hàng khủng giá mini - bán toà khách sạn mới 8 tầng đang khai thác - 2 mặt thoáng - 3 bước ra biển mỹ khê mặt tiền nguyễn văn thoại - 21 phòng - doanh thu 1 tỷ/ năm. 💥💥+ toà khách sạn 8 tầng mặt tiền nguyễn văn thoại, nằm trên diện tích đất 100m2, chỉ đi bộ 1 phút tới biển mỹ khê. số lượng phòng: 21 phòng. + kết cấu khách sạn như sau:tầng 1: tầng hầm + phòng khách + bếp.tầng 2: lễ tân + 1 phòng đôi có bồn tắm.tầng 3: 2 phòng lớn + 2 phòng nhỏ.tầng 4: 2 phòng lớn + 2 phòng nhỏ.tầng 5: 2 phòng lớn + 1 phòng nhỏ.tầng 6: 2 phòng lớn + 1 phòng nhỏ.tầng 7: 2 phòng lớn + 1 phòng nhỏ.tầng 8: 1 phòng lớn + 1 phòng nhỏ + ban công ngắm biển.  + mua nhanh giá tốt nữa.","hàng khủng giá mini bán toà khách sạn mới 8 tầng đang khai thác 2 mặt thoáng 3 bước ra biển mỹ khê mặt tiền nguyễn văn thoại 21 phòng doanh thu 1 tỷ/ năm. toà khách sạn 8 tầng mặt tiền nguyễn văn thoại, nằm trên diện tích đất 100m2, chỉ đi bộ 1 phút tới biển mỹ khê. số lượng phòng 21 phòng. kết cấu khách sạn như sau tầng 1 tầng hầm phòng khách bếp. tầng 2 lễ tân 1 phòng đôi có bồn tắm. tầng 3 2 phòng lớn 2 phòng nhỏ. tầng 4 2 phòng lớn 2 phòng nhỏ. tầng 5 2 phòng lớn 1 phòng nhỏ. tầng 6 2 phòng lớn 1 phòng nhỏ. tầng 7 2 phòng lớn 1 phòng nhỏ. tầng 8 1 phòng lớn 1 phòng nhỏ ban công ngắm biển. mua nhanh giá tốt nữa."
