,Mô tả,text_cleaned
0,"cô chú lớn tuổi muốn về nghỉ không quản lý cần bán nhanh dãy phòng trọ 24 phòng ngay đại học fpt - trước nhà view công viên - đang cho sinh viên thuê full phòng doanh thu trên 40tr/1 tháng.vị trí: ngay đường lê trung đình - hoà hải - ngũ hành sơn.diện tích 250m2 ngang 10m - 2 tầng chia thành 2 dấy tổng 24 phòng có bếp vệ sinh khép kín.khu vục giao thông thuận tiện, trước nhà view công viên, nhà văn hóa và sân khấu biểu diễn ngoài trời, dân cư đông đúc giá trị tăng từng ngày, đường 7.5m vỉa hè 4m.sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch. liên hệ mr thắng dẫn đi xem nhà gặp và làm việc chính chủ với giá tốt nhất.","cô chú lớn tuổi muốn về nghỉ không quản lý cần bán nhanh dãy phòng trọ 24 phòng ngay đại học fpt trước nhà view công viên đang cho sinh viên thuê full phòng doanh thu trên 40tr/1 tháng.vị trí ngay đường lê trung đình hoà hải ngũ hành sơn.diện tích 250m2 ngang 10m 2 tầng chia thành 2 dấy tổng 24 phòng có bếp vệ sinh khép kín.khu vục giao thông thuận tiện, trước nhà view công viên, nhà văn hóa và sân khấu biểu diễn ngoài trời, dân cư đông đúc giá trị tăng từng ngày, đường 7.5m vỉa hè 4m.sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch. liên hệ mr thắng dẫn đi xem nhà gặp và làm việc chính chủ với giá tốt nhất."
1,"-diện tích : 73m2 ( 5,2m x 14m). đường 7m5, lề 3m. hướng tây nam. -tặng nhà khai thác cho thuê gồm:-mặt bằng mới phía trước. diện tích khoảng 50m2. thêm gác lửng 20m2. mặt bằng rộng 5m.-phòng trọ mới phía sau: diện tích khoảng 20m2. hành lang đi riêng. có thêm gác lửng.-giá bán: 3.9 tỷ tl.-lh em để xem nhà và làm việc chính chủ.-mrs. dung -  (mtg). -cty bđs vingrand center chi nhánh tp đà nẵng. -địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng-","diện tích 73m2 ( 5,2m x 14m). đường 7m5, lề 3m. hướng tây nam. tặng nhà khai thác cho thuê gồm mặt bằng mới phía trước. diện tích khoảng 50m2. thêm gác lửng 20m2. mặt bằng rộng 5m. phòng trọ mới phía sau diện tích khoảng 20m2. hành lang đi riêng. có thêm gác lửng. giá bán 3.9 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung (mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
2,"-bán nhà 3 tầng đường huy cận, hòa cường nam, hải châu.-diện tích: 70m2 ( 5m x 14m). kết cấu nhà 3 tầng gồm 3 pn, 4 wc, sân phơi, pòng thờ. -vị trí: cách các trường đh: kiến trúc 500m, đông á 400m, ngoại ngữ 600m, lotte mart 700m. khu vực dân trí cao, giao thông thuận tiện, tiện ích bạt ngàn.-giá bán: 5.6 tỷ tl.-lh em để xem nhà và làm việc chính chủ.-mrs. dung -  (mtg). -cty bđs vingrand center chi nhánh tp đà nẵng. -địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng-","bán nhà 3 tầng đường huy cận, hòa cường nam, hải châu. diện tích 70m2 ( 5m x 14m). kết cấu nhà 3 tầng gồm 3 pn, 4 wc, sân phơi, pòng thờ. vị trí cách các trường đh kiến trúc 500m, đông á 400m, ngoại ngữ 600m, lotte mart 700m. khu vực dân trí cao, giao thông thuận tiện, tiện ích bạt ngàn. giá bán 5.6 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung (mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
3,"-diện tích: 81m2 ( 4.5m x 18m). kết cấu nhà 3 tầng gồm 3 pn, 3 wc, bếp, pòng thờ.-hướng đông. đường 5m5. lề 3m.-vị trí: gần nhiều trường như đại học ngoại ngữ, đông á, kiến trúc ....gần khu sầm uất lê thanh nghị và xô viết nghệ tĩnh vài bước chân.khu dân cư ôn hòa, dân trí cao, thích hợp mua ở và đầu tư.-giá bán: 6.8 tỷ tl.-lh em để xem nhà và làm việc để có giá tốt nhất:- mrs dung (mtg).-cty bđs vingrand center chi nhánh tp đà nẵng.-địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng-","diện tích 81m2 ( 4.5m x 18m). kết cấu nhà 3 tầng gồm 3 pn, 3 wc, bếp, pòng thờ. hướng đông. đường 5m5. lề 3m. vị trí gần nhiều trường như đại học ngoại ngữ, đông á, kiến trúc ....gần khu sầm uất lê thanh nghị và xô viết nghệ tĩnh vài bước chân.khu dân cư ôn hòa, dân trí cao, thích hợp mua ở và đầu tư. giá bán 6.8 tỷ tl. lh em để xem nhà và làm việc để có giá tốt nhất mrs dung (mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
4,"-diện tích: 90m2 ( 5m x 18m). hướng đông. đường 15m, lề 6.-vị trí: trên đất có nhà cấp 4, đường lớn thuận tiện cho việc kinh doanh buôn bán.-giá bán: 6.5 tỷ.-lh để xem nhà và làm việc chính chủ -mrs dung- cty bđs vingrand center chi nhánh tp đà nẵng.- địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","diện tích 90m2 ( 5m x 18m). hướng đông. đường 15m, lề 6. vị trí trên đất có nhà cấp 4, đường lớn thuận tiện cho việc kinh doanh buôn bán. giá bán 6.5 tỷ. lh để xem nhà và làm việc chính chủ mrs dung cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
5,"- diện tích: 69m2 ( 6m x 11m). kết cấu nhà 4 tầng, gồm 5 pn, 5 wc. - đường 7m5, lề 4m.- hướng tây.- vị trí: nhà gần trường đại học kinh tế , đại học đà nẵng, khu kinh doanh, sầm uất, lưu lượng học sinh sịnh viên lưu trú đông, rất thuận tiện cho kh mua ở kinh doanh hoặc đầu tư tài sản lâu dài, giá rẻ, cho thuê tốt.- giá bán: 6.5 tỷ tl.-lh để xem nhà và làm việc chính chủ -mrs dung - cty bđs vingrand center chi nhánh tp đà nẵng.- địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","diện tích 69m2 ( 6m x 11m). kết cấu nhà 4 tầng, gồm 5 pn, 5 wc. đường 7m5, lề 4m. hướng tây. vị trí nhà gần trường đại học kinh tế , đại học đà nẵng, khu kinh doanh, sầm uất, lưu lượng học sinh sịnh viên lưu trú đông, rất thuận tiện cho kh mua ở kinh doanh hoặc đầu tư tài sản lâu dài, giá rẻ, cho thuê tốt. giá bán 6.5 tỷ tl. lh để xem nhà và làm việc chính chủ mrs dung cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
6,"-bán nhà 5 tầng đường điện biên phủ, chính gián, thanh khê.-diện tích: 85m2 ( 6m x 15m). kết cấu nhà 5 tầng, gồm 5pn, 4 wc. hướng nam. đang chothuê 35 triệu/tháng.-vị trí: gần hà huy tập, đoạn buôn bán kinh doanh đa ngành nghề sầm uất nhất cung đường điện biên phủ.-giá bán: 13 tỷ -lh em để xem nhà và làm việc để có giá tốt nhất:- mrs dung  (mtg).-cty bđs vingrand center chi nhánh tp đà nẵng.-địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","bán nhà 5 tầng đường điện biên phủ, chính gián, thanh khê. diện tích 85m2 ( 6m x 15m). kết cấu nhà 5 tầng, gồm 5pn, 4 wc. hướng nam. đang chothuê 35 triệu/tháng. vị trí gần hà huy tập, đoạn buôn bán kinh doanh đa ngành nghề sầm uất nhất cung đường điện biên phủ. giá bán 13 tỷ lh em để xem nhà và làm việc để có giá tốt nhất mrs dung (mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
7,"-diện tích: 85m2(5m x 17m). kết cấu nhà 3 tầng mới đẹp, nội thất đầy đủ, gồm 3 pn, wc, phòng thờ, bếp, có sân vườn thoáng mat.-hướng: tây bắc-vị trí: khu an ninh dân trí cao, đầy đủ tiện ích xung quanh-giá bán: 5,6 tỷ tl.-lh em để xem nhà và làm việc chính chủ.-mrs. dung (mtg). -cty bđs vingrand center chi nhánh tp đà nẵng. -địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng-","diện tích 85m2(5m x 17m). kết cấu nhà 3 tầng mới đẹp, nội thất đầy đủ, gồm 3 pn, wc, phòng thờ, bếp, có sân vườn thoáng mat. hướng tây bắc vị trí khu an ninh dân trí cao, đầy đủ tiện ích xung quanh giá bán 5,6 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung (mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
8,"-diện tích: 100m2( 5m x 20m).-kết cấu : nhà 3 tầng kiên cố, thiết kế đẹp đầy đủ công năng phục vụ sinh hoạt gia đình.-hướng: bắc.-vị trí: các đường 2 tháng 9 50m,cách khu trung tâm vui chơi asia park và helio 100m.khu vực kinh doanh buôn bán sầm uất.thích hợp khách mua ở kết hợp kinh doanh đa ngành nghề.-       giá bán: 14.5 tỷ tl-lh em để xem nhà và làm việc chính chủ.-mrs. dung- (mtg). -cty bđs vingrand center chi nhánh tp đà nẵng. -địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","diện tích 100m2( 5m x 20m). kết cấu nhà 3 tầng kiên cố, thiết kế đẹp đầy đủ công năng phục vụ sinh hoạt gia đình. hướng bắc. vị trí các đường 2 tháng 9 50m,cách khu trung tâm vui chơi asia park và helio 100m.khu vực kinh doanh buôn bán sầm uất.thích hợp khách mua ở kết hợp kinh doanh đa ngành nghề. giá bán 14.5 tỷ tl lh em để xem nhà và làm việc chính chủ. mrs. dung (mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
9,"-vị trí: nằm ở khu vực dân trí cao, tiện ích đầy đủ xung quanh, tuyến đường song song nguyễn hữu thọ , tuyến đường thông phan đăng lưu, tố hữu, nguyễn dữ.-giá bán: 6,1 tỷ tl.-lh em để xem nhà và làm việc chính chủ.-mrs. dung- (mtg). -cty bđs vingrand center chi nhánh tp đà nẵng. -địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","vị trí nằm ở khu vực dân trí cao, tiện ích đầy đủ xung quanh, tuyến đường song song nguyễn hữu thọ , tuyến đường thông phan đăng lưu, tố hữu, nguyễn dữ. giá bán 6,1 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung (mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
