,Mô tả,text_cleaned
0,"- bán tòa nhà văn phòng 4 tầng, dt 85m2 (7x12m) mặt tiền đường tống phước phổ, hòa cường bắc.+ tầng 1: nhà xe, phòng khách, lễ tân rông rãi, toilet.+ tầng 2,3: 2 phòng dang office, có thiết kê kính chống chói, cho công ty thuê, toilet riêng, ban công.+ tầng 4: 1 phòng họp lớn, nhà kho, toilet.- tọa lại tại vị trí vô cùng đắc địa trung tâm hải châu, gần khách sạn minh toàn galaxy, cách cầu rồng, cầu trần thị lý 100m, đối lưng đường núi thành.- phù hợp khách mua vừa ở mở văn phòng công ty, kinh doanh căn hộ homestay, mở showroom....- giá sụp hầm : 8 tỷ.- liên hệ : zalo/call nhân (xem nhà, gặp chính chủ tl).","bán tòa nhà văn phòng 4 tầng, dt 85m2 (7 x 12m) mặt tiền đường tống phước phổ, hòa cường bắc. tầng 1 nhà xe, phòng khách, lễ tân rông rãi, toilet. tầng 2,3 2 phòng dang office, có thiết kê kính chống chói, cho công ty thuê, toilet riêng, ban công. tầng 4 1 phòng họp lớn, nhà kho, toilet. tọa lại tại vị trí vô cùng đắc địa trung tâm hải châu, gần khách sạn minh toàn gala x y, cách cầu rồng, cầu trần thị lý 100m, đối lưng đường núi thành. phù hợp khách mua vừa ở mở văn phòng công ty, kinh doanh căn hộ homestay, mở showroom.... giá sụp hầm 8 tỷ. liên hệ zalo/call nhân ( x em nhà, gặp chính chủ tl)."
1,"- vị trí đắc địa - ở và kinh doanh tốt. hiện đang cho khách thuê mở spa thẩm mỹ dòng tiền 10tr/tháng.- nhà 3 tầng - dt 61m2 - lô góc thoáng 3 mặt kiệt ô tô điện biên phủ. kiệt 6m thẳng 1 đường, cách đường chính chỉ 1 nhà. ô tô đỗ trước nhà 24/24.- công năng : 3pn, khách, bếp, thờ rộng rãi. - vị trí trung tâm thanh khê, gần siêu thị coopmart, nhà hàng không gian xưa, 5p di chuyển ra sân bay, cầu rồng, tiện ích bao trọn- giá : 3,75 tỷ.☎ liên hệ : zalo/call nhân (gặp chính chủ tl).","vị trí đắc địa ở và kinh doanh tốt. hiện đang cho khách thuê mở spa thẩm mỹ dòng tiền 10tr/tháng. nhà 3 tầng dt 61m2 lô góc thoáng 3 mặt kiệt ô tô điện biên phủ. kiệt 6m thẳng 1 đường, cách đường chính chỉ 1 nhà. ô tô đỗ trước nhà 24/24. công năng 3pn, khách, bếp, thờ rộng rãi. vị trí trung tâm thanh khê, gần siêu thị coopmart, nhà hàng không gian xưa, 5p di chuyển ra sân bay, cầu rồng, tiện ích bao trọn giá 3,75 tỷ. liên hệ zalo/call nhân (gặp chính chủ tl)."
2,"🏘️ trường mầm non, cơ sở giáo dục hàng đầu tại trung tâm q.cẩm lệ - cho doanh thu khủng hàng tháng.💎 dt 600m2 (33x18m) đất ở đô thị lâu dài. - quy mô trường 4 tầng với tổng diện tích xây dựng 2400m2.  cơ sở kinh doanh trường mẫu giáo đạt chuẩn chất lượng cao cấp. - hiện trường vẫn đang hoạt động mạnh, với đội ngũ giáo viên tâm huyết, dày dặn kinh nghiệm mang lại doanh thu khủng 580tr/tháng. - có đầy đủ giấy phép kinh doanh đảm bảo các qui định của phát luật. - đường 7,5m vỉa hè 4m. ✔️ giá chuyển nhượng : 35 tỷ thương lượng trực tiếp.  👉 chủ xuất ngoại đi mỹ đành phải chuyển nhượng lại, mong muốn tìm được chủ nhân mới để trường tiếp tục hoạt động. ☎️ liên hệ : zalo/call em nhân (dẫn đi xem thực tế và gặp chính chủ đàm phán).","trường mầm non, cơ sở giáo dục hàng đầu tại trung tâm q.cẩm lệ cho doanh thu khủng hàng tháng. dt 600m2 (33 x 18m) đất ở đô thị lâu dài. quy mô trường 4 tầng với tổng diện tích xây dựng 2400m2. cơ sở kinh doanh trường mẫu giáo đạt chuẩn chất lượng cao cấp. hiện trường vẫn đang hoạt động mạnh, với đội ngũ giáo viên tâm huyết, dày dặn kinh nghiệm mang lại doanh thu khủng 580tr/tháng. có đầy đủ giấy phép kinh doanh đảm bảo các qui định của phát luật. đường 7,5m vỉa hè 4m. giá chuyển nhượng 35 tỷ thương lượng trực tiếp. chủ xuất ngoại đi mỹ đành phải chuyển nhượng lại, mong muốn tìm được chủ nhân mới để trường tiếp tục hoạt động. liên hệ zalo/call em nhân (dẫn đi xem thực tế và gặp chính chủ đàm phán)."
3,"- bán tòa nhà 5 tầng x 94m2 (5x18,8m) mặt tiền đường 30m xô viết nghệ tĩnh, khuê trung, cẩm lệ.+ tầng 1+2 mặt bằng kinh doanh thông suốt. + tầng 3+4+5 gồm 7pn, 8wc, có thang máy, tặng nội thất cơ bản. - đường 30m vỉa hè 5m.- vị trí đắc địa siêu vip, vừa ở kết hợp kinh doanh, đa dạng nghành nghề, cho thuê mặt bằng, tuyến phố huyết mạch giáp hải châu kết nối nhiều tuyến lớn lê thanh nghị, nguyễn hữu thọ, núi thành, gần đh đông á, đh kiến trúc. - khu vực tập trung nhiều tòa văn phòng, nhà hàng quán xá....- giá bán : 14.x tỷ☎️ liên hệ : o9o5-46o-152 nhân (xem nhà, gặp chính chủ tl).","bán tòa nhà 5 tầng x 94m2 (5 x 18,8m) mặt tiền đường 30m xô viết nghệ tĩnh, khuê trung, cẩm lệ. tầng 1 2 mặt bằng kinh doanh thông suốt. tầng 3 4 5 gồm 7pn, 8wc, có thang máy, tặng nội thất cơ bản. đường 30m vỉa hè 5m. vị trí đắc địa siêu vip, vừa ở kết hợp kinh doanh, đa dạng nghành nghề, cho thuê mặt bằng, tuyến phố huyết mạch giáp hải châu kết nối nhiều tuyến lớn lê thanh nghị, nguyễn hữu thọ, núi thành, gần đh đông á, đh kiến trúc. khu vực tập trung nhiều tòa văn phòng, nhà hàng quán xá.... giá bán 14.x tỷ liên hệ o9o5 46o 152 nhân ( x em nhà, gặp chính chủ tl)."
4,"- bán nhanh nhà 2 tầng x dt 65m2 kiệt 3m ỷ lan nguyên phi, hòa cường bắc, hải châu. - công năng : 3pn (có phòng ngủ dưới) khách, bếp, thờ, sân để xe rộng rãi. - vị trí đẹp thoáng, vài bước chân ra đường chính, cách chỗ đậu đỗ ô tô 15m.- trung tâm hải châu, đi đâu cũng tiện, gần lê thanh nghị, 30/4, cách sân bay, cầu rồng 5p di chuyển, tiện ích gì cũng có.- giá chỉ : 3,1 tỷ.- liên hệ : zalo/call nhân (xem nhà, gặp chính chủ tl).","bán nhanh nhà 2 tầng x dt 65m2 kiệt 3m ỷ lan nguyên phi, hòa cường bắc, hải châu. công năng 3pn (có phòng ngủ dưới) khách, bếp, thờ, sân để xe rộng rãi. vị trí đẹp thoáng, vài bước chân ra đường chính, cách chỗ đậu đỗ ô tô 15m. trung tâm hải châu, đi đâu cũng tiện, gần lê thanh nghị, 30/4, cách sân bay, cầu rồng 5p di chuyển, tiện ích gì cũng có. giá chỉ 3,1 tỷ. liên hệ zalo/call nhân ( x em nhà, gặp chính chủ tl)."
5,"- cần bán nhanh nhà mặt tiền bình an 2, hòa cường bắc - hải châu. - nhà 2 tầng x 61m2 - ngang 4,5m (đất vuông đẹp).- 3pn, 3wc, khách bếp thờ đầy đủ, móng 3 tầng kiên cố.- đường 3,75m vỉa hè 3m đã có qui hoạch sắp mở đường thành 5,5m. - vị trí gần đường hàn thuyên, lê thanh nghị, cách san bay, cầu rồng 5p di chuyển, tiện ích ngập tràn.- giá chỉ : 4,15 tỷ.- liên hệ : zalo/call nhân (xem nhà, gặp chính chủ tl).","cần bán nhanh nhà mặt tiền bình an 2, hòa cường bắc hải châu. nhà 2 tầng x 61m2 ngang 4,5m (đất vuông đẹp). 3pn, 3wc, khách bếp thờ đầy đủ, móng 3 tầng kiên cố. đường 3,75m vỉa hè 3m đã có qui hoạch sắp mở đường thành 5,5m. vị trí gần đường hàn thuyên, lê thanh nghị, cách san bay, cầu rồng 5p di chuyển, tiện ích ngập tràn. giá chỉ 4,15 tỷ. liên hệ zalo/call nhân ( x em nhà, gặp chính chủ tl)."
6,"- nhà kiệt ô tô 6m trải nhựa lê đình lý, thanh khê - vị trí kinh doanh đắc địa. ô tô đỗ cửa 24/24.- 2 tầng x dt 107m2, ngang 4,5m, nở hậu rất đẹp.- trung tâm giáp hải châu, gần bv răng hàm mặt, hoàn mỹ, trường, chợ, sân bay...- phù hợp ở thuận tiện kinh doanh spa, mở vp, xây căn hộ...- giá chỉ : 5.8 tỷ.- liên hệ : zalo/call nhân (xem nhà, gặp chính chủ tl).","nhà kiệt ô tô 6m trải nhựa lê đình lý, thanh khê vị trí kinh doanh đắc địa. ô tô đỗ cửa 24/24. 2 tầng x dt 107m2, ngang 4,5m, nở hậu rất đẹp. trung tâm giáp hải châu, gần bv răng hàm mặt, hoàn mỹ, trường, chợ, sân bay... phù hợp ở thuận tiện kinh doanh spa, mở vp, xây căn hộ... giá chỉ 5.8 tỷ. liên hệ zalo/call nhân ( x em nhà, gặp chính chủ tl)."
7,"💥💥 bán nhanh nhà 2 tầng, dt 68m2, ngang 4,5m (đất vuông đẹp). đường hải hồ, tt hải châu. 👉👉 👉👉 chỉ nhỉnh 4 tỷ- 2 mê đúc xây kiên cố, cốt nhà cứng cáp, cải tạo chút ở ngay - 3pn, khách, bếp, thờ đầy đủ.- vị trí đẹp không khác gì mặt tiền. đường 4m, vỉa hè 2,5m, vừa ở thuận tiện kinh doanh. ô tô đỗ cửa 24/24.- gần trường đh kỹ thuật, chợ đống đa, kết nối lý tự trọng, ông ích khiêm, đống đa, tiện ích gì cũng có. ☎️ liên hệ : zalo/call nhân (xem nhà, gặp chủ tl).","bán nhanh nhà 2 tầng, dt 68m2, ngang 4,5m (đất vuông đẹp). đường hải hồ, tt hải châu. chỉ nhỉnh 4 tỷ 2 mê đúc xây kiên cố, cốt nhà cứng cáp, cải tạo chút ở ngay 3pn, khách, bếp, thờ đầy đủ. vị trí đẹp không khác gì mặt tiền. đường 4m, vỉa hè 2,5m, vừa ở thuận tiện kinh doanh. ô tô đỗ cửa 24/24. gần trường đh kỹ thuật, chợ đống đa, kết nối lý tự trọng, ông ích khiêm, đống đa, tiện ích gì cũng có. liên hệ zalo/call nhân ( x em nhà, gặp chủ tl)."
8,"💥 biệt thự 3 tầng lô góc 2 mặt tiền mạc đăng doanh, hòa xuân. - dt 183m2 (9,4x20m) đường 7,5m.- hướng tây bắc và đông bắc.- thiết kế : 3pn, 4wc, khách, bếp, thờ rộng rãi , 1 phòng sinh hoạt chung, sân vườn chill.- vị trí đẹp thoáng, gần sông mát mẻ quanh năm. 👉 giá : 13,5 tỷ. ☎️ liên hệ : o9o5-46o-152 - lvcc.","biệt thự 3 tầng lô góc 2 mặt tiền mạc đăng doanh, hòa xuân. dt 183m2 (9,4 x 20m) đường 7,5m. hướng tây bắc và đông bắc. thiết kế 3pn, 4wc, khách, bếp, thờ rộng rãi , 1 phòng sinh hoạt chung, sân vườn chill. vị trí đẹp thoáng, gần sông mát mẻ quanh năm. giá 13,5 tỷ. liên hệ o9o5 46o 152 lvcc."
9,"bán nhà biệt thự 3 tầng 137m2 kiệt ô tô hà huy tập, an khê, thanh khê- diện tích đất : 136,6m2 - ngang ~8m (tách được 2 lô)- ngang gần 8m, nở hậu 9,5m, dài 17- nhà 2 mặt kiệt 4m ô tô thông thoáng- xe ô tô đậu trong nhà- nhà 3 tầng đúc, dtsd 402m- hướng tây bắc, cách đường chính 30m- có ngủ dưới, 4 ngủ, 4wc, 1 thờ, sân xe, sân thượng…- có sân vườn trồng hoa lan & cây cảnh- chính chủ đang ở, cần bán giá rẻgiá chỉ; 5,1 tỷ ( thương lượng )","bán nhà biệt thự 3 tầng 137m2 kiệt ô tô hà huy tập, an khê, thanh khê diện tích đất 136,6m2 ngang 8m (tách được 2 lô) ngang gần 8m, nở hậu 9,5m, dài 17 nhà 2 mặt kiệt 4m ô tô thông thoáng xe ô tô đậu trong nhà nhà 3 tầng đúc, dtsd 402m hướng tây bắc, cách đường chính 30m có ngủ dưới, 4 ngủ, 4wc, 1 thờ, sân xe, sân thượng... có sân vườn trồng hoa lan cây cảnh chính chủ đang ở, cần bán giá rẻgiá chỉ 5,1 tỷ ( thương lượng )"
