,Mô tả,text_cleaned
0,"bán gấp nhà mặt tiền đường thân nhân trung, phường hòa khê, quận thanh khê vị trí gần ngay trường học , khu dân cư sinh sống và kinh doanh tấp nập- diện tích: 80 m2- ngang: 5 x 16 m- nhà thiết kế hiện đại gồm 3 tầng, 3 phòng ngủ, 4 wc , bếp , phòng khách.- đường trước nhà: 5.5 m, vỉa hè: 3 m+ cần tiền bán nhanh giá 5 tỷ 2.có thương lượng chính chủ đứng tên","bán gấp nhà mặt tiền đường thân nhân trung, phường hòa khê, quận thanh khê vị trí gần ngay trường học , khu dân cư sinh sống và kinh doanh tấp nập diện tích 80 m2 ngang 5 x 16 m nhà thiết kế hiện đại gồm 3 tầng, 3 phòng ngủ, 4 wc , bếp , phòng khách. đường trước nhà 5.5 m, vỉa hè 3 m cần tiền bán nhanh giá 5 tỷ 2. có thương lượng chính chủ đứng tên"
1,"thương lượng chính chủ đứng tên. nhà đẹp 3 tầng góc 2 mặt tiền 7m5 và 5m5 hồ sĩ tân giá rẻ- diện tích: 155m (6m x 24m). kết cấu nhà 3 tầng kiên cố, góc 2 mặt tiền đường 7m5 và 5m5. dọn vào ở ngay- vị trí: chỉ 2p đến cầu sông hàn và 5p ra biển. gần cửa sông cửa biển. đây cũng là nơi tp đà nẵng dự kiến triển khai công trình trọng điểm hầm chui qua sông hàn. kết nối khu vực đống đa tttp sang quận sơn trà. xung quanh tiện ích, công viên, trường học, chợ đầy đủ.+ gia đình cần bán nhanh: 7 tỷ 5 tl.thương lượng chính chủ đứng tên","thương lượng chính chủ đứng tên. nhà đẹp 3 tầng góc 2 mặt tiền 7m5 và 5m5 hồ sĩ tân giá rẻ diện tích 155m (6m x 24m). kết cấu nhà 3 tầng kiên cố, góc 2 mặt tiền đường 7m5 và 5m5. dọn vào ở ngay vị trí chỉ 2p đến cầu sông hàn và 5p ra biển. gần cửa sông cửa biển. đây cũng là nơi tp đà nẵng dự kiến triển khai công trình trọng điểm hầm chui qua sông hàn. kết nối khu vực đống đa tttp sang quận sơn trà. xung quanh tiện ích, công viên, trường học, chợ đầy đủ. gia đình cần bán nhanh 7 tỷ 5 tl. thương lượng chính chủ đứng tên"
2,"+ đường kinh dương vương, phường hòa minh, quận liên chiểu, đà nẵng+ diện tích đất : 198m² (9x22) đường 15m lề 5m+ vị trí đẹp tuyến đường chính quận liểu chiểu, khu vực kinh doanh buôn bán sầm uất đa ngành nghề, thích hợp kinh doanh các mặt hàng, gần nguyễn sinh sắc, biển nguyễn tất thành. phù hợp kh mua đầu tư xây dựng villa, căn hộ, khách sạn, cửa hàng.gia đình cần tiền mặt bán nhanh 12 tỷ 5.có thương lượng chính chủ đứng tên.","đường kinh dương vương, phường hòa minh, quận liên chiểu, đà nẵng diện tích đất 198m2 (9 x 22) đường 15m lề 5m vị trí đẹp tuyến đường chính quận liểu chiểu, khu vực kinh doanh buôn bán sầm uất đa ngành nghề, thích hợp kinh doanh các mặt hàng, gần nguyễn sinh sắc, biển nguyễn tất thành. phù hợp kh mua đầu tư xây dựng villa, căn hộ, khách sạn, cửa hàng. gia đình cần tiền mặt bán nhanh 12 tỷ 5. có thương lượng chính chủ đứng tên."
3,"+ bán nhà mặt tiền đầm rong 2 gần chợ đống đa và công viên đầm rong. khu vực sạch đẹp an sinh, tiện ích + dt 68m2 ngang 5m dài 14m+ kết cấu: 2 tầng đúc kiên cố, thiết kế đẹp, đầy đủ công năng ở ngaygia đình cần tiền mặt bán nhanh 6 tỷ 2.có thương lượng chính chủ đứng tên.","bán nhà mặt tiền đầm rong 2 gần chợ đống đa và công viên đầm rong. khu vực sạch đẹp an sinh, tiện ích dt 68m2 ngang 5m dài 14m kết cấu 2 tầng đúc kiên cố, thiết kế đẹp, đầy đủ công năng ở ngay gia đình cần tiền mặt bán nhanh 6 tỷ 2. có thương lượng chính chủ đứng tên."
4,"bán nhà đường mạc thị bưởi, phường hòa cường nam, quận hải châu.+ diện tích: 85.5m2 (4.5m x 19m). hướng đông. đường 5m5, lề 3m.+ kết cấu nhà 2 tầng gồm 3 phòng ngủ,, 2wc, phòng khách, bếp, phòng thờ…+ vị trí: trước mặt là trường cấp 1 lê đình chinh, cách metro 500m, cách công viên thanh niên 200m, cách chợ đầu mối 400m.gia đình cần tiền mặt bán nhanh 4 tỷ 9.có thương lượng chính chủ đứng tên.","bán nhà đường mạc thị bưởi, phường hòa cường nam, quận hải châu. diện tích 85.5m2 (4.5m x 19m). hướng đông. đường 5m5, lề 3m. kết cấu nhà 2 tầng gồm 3 phòng ngủ,, 2wc, phòng khách, bếp, phòng thờ... vị trí trước mặt là trường cấp 1 lê đình chinh, cách metro 500m, cách công viên thanh niên 200m, cách chợ đầu mối 400m. gia đình cần tiền mặt bán nhanh 4 tỷ 9. có thương lượng chính chủ đứng tên."
5,"+ bán lô đất 2 mặt kiệt ô tô hà bổng, p. phước mỹ, q. sơn trà, tp. đà nẵng.- dt: 243m² ngang 13.5m dài 17.5m.- vị trí thông hà bổng, hà chương, hồ nghinh, võ nguyễn giáp.- nơi tập trung khách sạn, nhà hàng cao cấp, dịch vụ giải trí đa dạng.- đông đúc khách du lịch tây, tàu, nhật, hàn.- thuận lợi xây căn hộ dv và các loại hình kinh doanh.- giá bán: 18 tỷ 9 còn thương lượng.chính chủ bán xem nhà và mua xin gọi qua sdt.","bán lô đất 2 mặt kiệt ô tô hà bổng, p. phước mỹ, q. sơn trà, tp. đà nẵng. dt 243m2 ngang 13.5m dài 17.5m. vị trí thông hà bổng, hà chương, hồ nghinh, võ nguyễn giáp. nơi tập trung khách sạn, nhà hàng cao cấp, dịch vụ giải trí đa dạng. đông đúc khách du lịch tây, tàu, nhật, hàn. thuận lợi xây căn hộ dv và các loại hình kinh doanh. giá bán 18 tỷ 9 còn thương lượng. chính chủ bán xem nhà và mua xin gọi qua sdt."
6,"+ hiện tôi đang muốn bán căn nhà 2 tầng mặt tiền yên khê 2 và yên khê 1, thanh khê.- khu dân cư đông đúc, nhộn nhịp ven sông phú lộc.- vị trí đẹp gần chợ hải sản, gần tuyến đường biển nguyễn tất thành và trường đại học thể dục thể thao, cao đẳng thương mại, trường mầm non hoa mai và các cấp. thuận lợi ở và kinh doanh.- diện tích sổ: 76.5m², mặt tiền: 4.5m, dài: 17.5m. nhà vuông đẹp.+ giá bán: 5 tỷ có thương lượng.* yên khê 1: 2 tầng 70m² (5.8mx13m) giá bán: 5 tỷ 4 còn thương lượng.+ sổ chính chủ sang tên 1 nốt nhạc.","hiện tôi đang muốn bán căn nhà 2 tầng mặt tiền yên khê 2 và yên khê 1, thanh khê. khu dân cư đông đúc, nhộn nhịp ven sông phú lộc. vị trí đẹp gần chợ hải sản, gần tuyến đường biển nguyễn tất thành và trường đại học thể dục thể thao, cao đẳng thương mại, trường mầm non hoa mai và các cấp. thuận lợi ở và kinh doanh. diện tích sổ 76.5m2, mặt tiền 4.5m, dài 17.5m. nhà vuông đẹp. giá bán 5 tỷ có thương lượng. * yên khê 1 2 tầng 70m2 (5.8m x 13m) giá bán 5 tỷ 4 còn thương lượng. sổ chính chủ sang tên 1 nốt nhạc."
7,"+ bán khách sạn đường tôn thất đạm, phường xuân hà, quận thanh khê, đà nẵng.+ dt: 90m2 (4.5x20). hướng đông. đường 10m5, lề 5m.+ khách sạn 5,5 tầng, 16 phòng. khách sạn thuộc tiêu chuẩn 2 sao. đầy đủ tiện nghi: có tháng máy, có chỗ giữ xe ô tô. nội thất cao cấp gồm: ti vi, máy điều hòa, máy tắm nước nóng, tủ lạnh mini bar,.... truyền hình cáp, wifi cáp quang tốc độ cao.+ nằm trong khu trung tâm, kinh doanh sầm uất, con đường khách sạn. cách biển 50m, cách nhà ga 500m, cách sân bay 1km.+  khách sạn đang hoạt động rất tốt, lượng khách đông đúc, ổn định kể cả ngày thường và đặc biệt công suất hoạt động phòng từ 80%- 100%. ngoài ra khách sạn không chỉ phục vục khách hàng bản địa mà còn tiếp cả du khách trong và ngoài nước.+ gia đình cần tiền bán gấp giá: 14,2 tỷ (tlcc)chính chủ bán, xem nhà và mua xin gọi qua số điện thoại.","bán khách sạn đường tôn thất đạm, phường xuân hà, quận thanh khê, đà nẵng. dt 90m2 (4.5 x 20). hướng đông. đường 10m5, lề 5m. khách sạn 5,5 tầng, 16 phòng. khách sạn thuộc tiêu chuẩn 2 sao. đầy đủ tiện nghi có tháng máy, có chỗ giữ xe ô tô. nội thất cao cấp gồm ti vi, máy điều hòa, máy tắm nước nóng, tủ lạnh mini bar,.... truyền hình cáp, wifi cáp quang tốc độ cao. nằm trong khu trung tâm, kinh doanh sầm uất, con đường khách sạn. cách biển 50m, cách nhà ga 500m, cách sân bay 1km. khách sạn đang hoạt động rất tốt, lượng khách đông đúc, ổn định kể cả ngày thường và đặc biệt công suất hoạt động phòng từ 80 100 . ngoài ra khách sạn không chỉ phục vục khách hàng bản địa mà còn tiếp cả du khách trong và ngoài nước. gia đình cần tiền bán gấp giá 14,2 tỷ (tlcc)chính chủ bán, xem nhà và mua xin gọi qua số điện thoại."
8,"+ bán nhà mặt tiền tiên sơn 5 , p. hòa cường nam, q. hải châu, tp. đà nẵng - dt: 64.2m² ngang 4m dài 16.06m, đường 4 lề 2m. - kết cấu: nhà cấp 4 gác đúc gồm 2 phòng ngủ, 2 wc.- vị trí gần sông, ngay trung tâm.- dân cư đông, văn minh, an ninh tốt, mát mẻ.- tiện ích đầy đủ: gần chợ, trường học các cấp, siêu thị….- thuận lợi ở hoặc cho thuê.- giá bán: 3 tỷ 850chính chủ gửi, xem nhà và mua xin gọi qua số điện thoại.","bán nhà mặt tiền tiên sơn 5 , p. hòa cường nam, q. hải châu, tp. đà nẵng dt 64.2m2 ngang 4m dài 16.06m, đường 4 lề 2m. kết cấu nhà cấp 4 gác đúc gồm 2 phòng ngủ, 2 wc. vị trí gần sông, ngay trung tâm. dân cư đông, văn minh, an ninh tốt, mát mẻ. tiện ích đầy đủ gần chợ, trường học các cấp, siêu thị.... thuận lợi ở hoặc cho thuê. giá bán 3 tỷ 850 chính chủ gửi, xem nhà và mua xin gọi qua số điện thoại."
9,"+ bán lô đôi mặt tiền vũ quỳnh, p. thanh khê tây, q. thanh khê, tp. đà nẵng - dt: 150m² ngang 10m dài 15m, đường 5m5 lề 3m, có bán lẻ từng lô 3 tỷ 8- vị trí gần biển, gần trung tâm, không khí mát mẻ- dân cư đông, văn minh, an ninh tốt- tiện ích đầy đủ: gần chợ, trường học các cấp, siêu thị….- thuận lợi kinh doanh hoặc cho thuê.- giá bán: 7 tỷ 5chính chủ bán xem nhà và mua xin gọi qua sdt","bán lô đôi mặt tiền vũ quỳnh, p. thanh khê tây, q. thanh khê, tp. đà nẵng dt 150m2 ngang 10m dài 15m, đường 5m5 lề 3m, có bán lẻ từng lô 3 tỷ 8 vị trí gần biển, gần trung tâm, không khí mát mẻ dân cư đông, văn minh, an ninh tốt tiện ích đầy đủ gần chợ, trường học các cấp, siêu thị.... thuận lợi kinh doanh hoặc cho thuê. giá bán 7 tỷ 5 chính chủ bán xem nhà và mua xin gọi qua sdt"
