,Mô tả,text_cleaned
0,"bán nhà 3 tầng đường tùng thiện vương - nam việt á, khuê mỹ, ngũ hành sơn.- diện tích: 95m2(5x19). hướng đông bắc- đường 7m5, lề 4m.- công năng: nhà 3 tầng thiết kế hiện đại gồm 4pn, 4wc. full nội thất hiện đại.- vị trí: thuộc khu đô thị nam việt á gần bùi tá hán, cách sông hàn 500m, cách biển 1,5km. khu dân cư đông đúc, dân trí cao. thích hợp mua ở, hoặc cho thuê lại.- giá bán đến công chứng: 5,3 tỷ (có tl)-------------------------------------liên hệ : thủy call/zalo nhận ký gửi thuê-mua bán bđs","bán nhà 3 tầng đường tùng thiện vương nam việt á, khuê mỹ, ngũ hành sơn. diện tích 95m2 (5 x 19). hướng đông bắc đường 7m5, lề 4m. công năng nhà 3 tầng thiết kế hiện đại gồm 4pn, 4wc. full nội thất hiện đại. vị trí thuộc khu đô thị nam việt á gần bùi tá hán, cách sông hàn 500m, cách biển 1,5km. khu dân cư đông đúc, dân trí cao. thích hợp mua ở, hoặc cho thuê lại. giá bán đến công chứng 5,3 tỷ (có tl) liên hệ thủy call/zalo nhận ký gửi thuê mua bán bđs"
1,"bán nhà 3 tầng đường thanh lương 32 nhà mới xây 3 tầng full nội thất bao đẹp chỉ việc dọn vào ở- diện tích: 100 m2(5x20)- hướng: đông nam- đường:  7m5 lề 3m- giá bán:  5.6 tỷ có tlnhà có 3 tàng 3 phòng ngủ, 3wc. nhà mới đẹp mới xây bán full nội thất","bán nhà 3 tầng đường thanh lương 32 nhà mới xây 3 tầng full nội thất bao đẹp chỉ việc dọn vào ở diện tích 100 m2 (5 x 20) hướng đông nam đường 7m5 lề 3m giá bán 5.6 tỷ có tl nhà có 3 tàng 3 phòng ngủ, 3wc. nhà mới đẹp mới xây bán full nội thất"
2,"nhà 2 tầng nguyễn hiền nhà đẹp, đường 7,5m, 72m2, gần sông hàn- diện tích: 72m2 (4 x18)- giá : 4,4 tỷ- địa chỉ: đường nguyễn hiền, nại hiên đông, sơn trà, đà nẵng.mô tả chi tiết:+ đường 7.5m, thông thoáng, kinh doanh tốt,  gần biển, gần sông hàn, thông bùi dương lịch. nhà đẹp xây đầu tư, tỷ mỉ, chủ mới mua về chỉ việc ở ngay, ko phải sửa sang gì.+ chủ chấp nhận bán lỗ.","nha 2 tầng nguyên hiên nha đep, đương 7,5m, 72m2, gân sông han diên tich 72m2 (4 x 18) gia 4,4 ty đi a chi đương nguyên hiên, nai hiên đông, sơn tra , đa năng. mô tả chi tiết đường 7.5m, thông thoáng, kinh doanh tốt, gần biển, gần sông hàn, thông bùi dương lịch. nhà đẹp xây đầu tư, tỷ mỉ, chủ mới mua về chỉ việc ở ngay, ko phải sửa sang gì. chủ chấp nhận bán lô ."
3,"- chủ gửi căn fpt giá tốt nhất thị trường.- diện tích 70m2. ban công hướng đông mát mẻ, view biển xịn xò- 2 pn, 2 nhà vệ sinh.- nội thất liền tường đầy đủ.- nhà mới nhận nhà ngay.- hỗ trợ vay không lãi suất 12 tháng hoặc quà tặng tân gia 100tr.- giá 1.749 bao gồm vat.liên hệ em thư trang 0938621048 để xem căn hộ miễn phí","chủ gửi căn fpt giá tốt nhất thị trường. diện tích 70m2. ban công hướng đông mát mẻ, view biển xịn xò 2 pn, 2 nhà vệ sinh. nội thất liền tường đầy đủ. nhà mới nhận nhà ngay. hỗ trợ vay không lãi suất 12 tháng hoặc quà tặng tân gia 100tr. giá 1.749 bao gồm vat. liên hệ em thư trang 0938621048 để xem căn hộ miễn phí"
4,"nhà đẹp đầy đủ công năng 2 phòng ngủ , 2 vệ sinh , 1 sân để xe rộng thiết kế móng 3 tầng có thể xây thêmnhà full nội thất cao cấp chỉ cần vào ở diện tích : 95m2đông bắc đường 7,5m đậu đỗ xe thoải máigiá chỉ : 4,55 tỷliên hệ xem nhà làm việc chính chu….","nhà đẹp đầy đủ công năng 2 phòng ngủ , 2 vệ sinh , 1 sân để xe rộng thiết kế móng 3 tầng có thể xây thêm nhà full nội thất cao cấp chỉ cần vào ở diện tích 95m2 đông bắc đường 7,5m đậu đỗ xe thoải mái giá chỉ 4,55 tỷ liên hệ xem nhà làm việc chính chu ."
5,"+ bán gấp tòa nhà căn hộ 7 tầng mặt tiền đường khuê mỹ đông, phường khuê mỹ, quận ngũ hành sơn. + diện tích đất 102m2.  kết cấu: 7 tầng gồm 15 phòng full nội thất đang cho thuê, doanh thu ổn định hàng tháng.+ vị trí: nằm trong khu nhà máy cao su, 300m ra biển mỹ khê.+ khu vực tập trung chủ yếu căn hộ dịch vụ và khách sạn nên rất phù hợp khách hàng mua để tiếp tục khai thác hoặc đầu tư.+ gần biển nên giá trị tiềm năng sinh lời cao.+ sổ đỏ pháp lý rõ ràng, sẵn sàn công chứng.+ liên hệ mr dũng villa để xem trong và tư vấn miễn phí, xin cảm ơn.","bán gấp tòa nhà căn hộ 7 tầng mặt tiền đường khuê mỹ đông, phường khuê mỹ, quận ngũ hành sơn. diện tích đất 102m2. kết cấu 7 tầng gồm 15 phòng full nội thất đang cho thuê, doanh thu ổn định hàng tháng. vị trí nằm trong khu nhà máy cao su, 300m ra biển mỹ khê. khu vực tập trung chủ yếu căn hộ dịch vụ và khách sạn nên rất phù hợp khách hàng mua để tiếp tục khai thác hoặc đầu tư. gần biển nên giá trị tiềm năng sinh lời cao. sổ đỏ pháp lý rõ ràng, sẵn sàn công chứng. liên hệ mr dũng villa để xem trong và tư vấn miễn phí, xin cảm ơn."
6,"🌈bán siêu toà căn hộ - trung tâm sơn trà - sát đường ngô quyền, võ văn kiệt - doanh thu gần 100tr/tháng.—————————-🧨mô tả:💎vị trí kim cương: mặt tiền đường 5,5m vỉa hè 3m. nhà cách đường ngô quyền 20m, võ văn kiệt 100m, cầu rồng, chợ đêm, cầu tình yêu 500m. ra bãi tắm biển mỹ khê 1km. đến sân bay 2km.🍀toà căn hộ 7 tầng mới cứng, thiết kế gồm:👉tầng hầm để xe.👉tầng 1: sảnh lễ tân và 1 văn phòng 110m2 thông suốt cho thuê giá 15 triệu/tháng.👉tầng 2,3,4,5,6: có 11 căn hộ full nội thất đẹp lung linh💢diện tích đất 183m2 mặt tiền 7m nở hậu. full nội thất, thang máy xịn.📌khu vực dân cư đông đúc, gần biển và nhiều điểm du lịch nổi tiếng của đà nẵng. khách du lịch rất nhiều. 🎯toà căn hộ lúc nào cũng full phòng. doanh thu gần 100 triệu/tháng, tháng thấp nhất là 70 triệu/tháng. quan tâm liên hệ : việt mỹ - fanpage: bđs minh kỳ","bán siêu toà căn hộ trung tâm sơn trà sát đường ngô quyền, võ văn kiệt doanh thu gần 100tr/tháng. mô tả vị trí kim cương mặt tiền đường 5,5m vỉa hè 3m. nhà cách đường ngô quyền 20m, võ văn kiệt 100m, cầu rồng, chợ đêm, cầu tình yêu 500m. ra bãi tắm biển mỹ khê 1km. đến sân bay 2km. toà căn hộ 7 tầng mới cứng, thiết kế gồm tầng hầm để xe. tầng 1 sảnh lễ tân và 1 văn phòng 110m2 thông suốt cho thuê giá 15 triệu/tháng. tầng 2,3,4,5,6 có 11 căn hộ full nội thất đẹp lung linh diện tích đất 183m2 mặt tiền 7m nở hậu. full nội thất, thang máy xịn. khu vực dân cư đông đúc, gần biển và nhiều điểm du lịch nổi tiếng của đà nẵng. khách du lịch rất nhiều. toà căn hộ lúc nào cũng full phòng. doanh thu gần 100 triệu/tháng, tháng thấp nhất là 70 triệu/tháng. quan tâm liên hệ việt mỹ fanpage bđs minh kỳ"
7,"giá siêu rẻ! bán nhà 2 tầng kiệt ô tô lý tự trọng, hải châu. + diện tích: 45m2 (ngang 4m).+ giá: 2.5 tỷ (thương lượng mạnh). + gần đường đống đa, cao thắng. thông tứ hướng.+ khu vực trung tâm, tiện ích bạt ngàn. gần chợ đống đa, trường học các cấp, đại học công nghệ, bệnh viện quận, thành phố...------------------------------------------------miễn phí xem nhà đất nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/7.------------------------------------------------","giá siêu rẻ bán nhà 2 tầng kiệt ô tô lý tự trọng, hải châu. diện tích 45m2 (ngang 4m). giá 2.5 tỷ (thương lượng mạnh). gần đường đống đa, cao thắng. thông tứ hướng. khu vực trung tâm, tiện ích bạt ngàn. gần chợ đống đa, trường học các cấp, đại học công nghệ, bệnh viện quận, thành phố... miễn phí xem nhà đất nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/7."
8,"bán nhà 2 tầng kiệt gần 4m  đống đa, q. hải châu. (giá đã giảm 500 triệu). + diện tích: 41m2 (ngang 4m).  + giá: 2.5 tỷ (thương lượng mạnh).+ nhà 2 tầng: phòng khách, phòng thờ, 2 phòng ngủ, 2wc, sân phơi...+khu vực dân cư đông đúc, an ninh tốt, gần ubnd thành phố, bệnh viện đa khoa, các trường học các cấp, chợ đống đa...nhà ngày gần đường lớn, kiệt thông. ------------------------------------------------miễn phí xem nhà đất nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/7.------------------------------------------------","bán nhà 2 tầng kiệt gần 4m đống đa, q. hải châu. (giá đã giảm 500 triệu). diện tích 41m2 (ngang 4m). giá 2.5 tỷ (thương lượng mạnh). nhà 2 tầng phòng khách, phòng thờ, 2 phòng ngủ, 2wc, sân phơi... khu vực dân cư đông đúc, an ninh tốt, gần ubnd thành phố, bệnh viện đa khoa, các trường học các cấp, chợ đống đa... nhà ngày gần đường lớn, kiệt thông. miễn phí xem nhà đất nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/7."
9,"+ cần bán tòa khách sạn căn hộ biển khu phố tây an thượng ngũ hành sơn đà nẵng.+ giá bán chỉ 45 tỷ, thương lượng và làm việc chính chủ. miễn trung gian.+ kết cấu khách sạn 10 tầng nổi và 1 tầng hầm, gồm 36 phòng khách sạn và căn hộ, có nhà hàng ăn uống.+ nằm ngay trung tâm du lịch khu phố tây an thượng đà nẵng, tập trung nhìu khách sạn lớn nhỏ, căn hộ cao cấp.... khách du lịch đông đúc quanh năm.+ chỉ 250m ra đến bãi tắm mỹ khê, 1 trong những bãi biển đẹp nhất hành tin.+ khách sạn đã hoàn công. sổ đỏ pháp lý rõ ràng.+ liên hệ mr dũng villa để biết thêm thông tin.","cỹ khê, 1 trong những bãi biần bán tòa khách sạn căn hộ biển khu phố tây an thượng ngũ hành sơn đà nẵng. giá bán chỉ 45 tỷ, thương lượng và làm việc chính chủ. miễn trung gian. kết cấu khách sạn 10 tầng nổi và 1 tầng hầm, gồm 36 phòng khách sạn và căn hộ, có nhà hàng ăn uống. nằm ngay trung tâm du lịch khu phố tây an thượng đà nẵng, tập trung nhìu khách sạn lớn nhỏ, căn hộ cao cấp.... khách du lịch đông đúc quanh năm. chỉ 250m ra đến bãi tắm mển đẹp nhất hành tin. khách sạn đã hoàn công. sổ đỏ pháp lý rõ ràng. liên hệ mr dũng villa để biết thêm thông tin."
