,Mô tả,text_cleaned
0,"+ diện tích 80m2 ngang 5m ( kẹp cống đẹp) .hướng đông + kết cấu 3 tầng gồm 3 phòng ngủ , 3 tolet , 1 phòng thờ , sân phơi . nhà mới sạch sẽ dọn vào ở thôi+ vị trí song song lê thanh nghị, ngay sát đường hàn thuyên.vị trí víp khu hòa cường.+ giá 7 tỷ 500 triệu tl chính chủ+ lh em để xem nhà và làm việc chính chủ.+ mrs dung    (mtg).cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","diện tích 80m2 ngang 5m ( kẹp cống đẹp) .hướng đông kết cấu 3 tầng gồm 3 phòng ngủ , 3 tolet , 1 phòng thờ , sân phơi . nhà mới sạch sẽ dọn vào ở thôi vị trí song song lê thanh nghị, ngay sát đường hàn thuyên.vị trí víp khu hòa cường. giá 7 tỷ 500 triệu tl chính chủ lh em để xem nhà và làm việc chính chủ. mrs dung (mtg).cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
1,"-bán đất đường nguyễn lữ, phường khuê mỹ, quận ngũ hành sơn.-diện tích: 90m2 ( 5m x 18m).  đát trông. đường 7m5, vỉa hè 4m.-vị trí: gần phạm tuấn tài, cách sông 100m, yên tĩnh, gió sông thổi cực mát, khu vựca n ninh tốt, dân trí cao. cách lãnh sự quán hán quốc 500m.-giá bán: 4.8 tỷ tl.-liên hệ: mr dung ( mtg)- cty bđs vingrand center chi nhánh tp đà nẵng.- -địa chỉ: tt dvtm savico 66 võ văn tần, q. thanh khê, đà nẵng","bán đất đường nguyễn lữ, phường khuê mỹ, quận ngũ hành sơn. diện tích 90m2 ( 5m x 18m). đát trông. đường 7m5, vỉa hè 4m. vị trí gần phạm tuấn tài, cách sông 100m, yên tĩnh, gió sông thổi cực mát, khu vựca n ninh tốt, dân trí cao. cách lãnh sự quán hán quốc 500m. giá bán 4.8 tỷ tl. liên hệ mr dung ( mtg) cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần, q. thanh khê, đà nẵng"
2,"-bán lô đất mt đường dương tử giang, phường, khuê mỹ, quận ngũ hành sơn, đà nẵng.-diện tích: 90m2 ( 5m x 18m). đất trống, đường 7m5, lề 4m. -vị trí: nằm ở khu nam việt á, đầy đủ dịch vụ tiện ích xung quanh, cảnh quan đến thiết kế và môi trường, tạo sức hút vô cùng đặc biệt tới khách hàng, các nhà đầu tư trong và ngoài đà nẵng.-giá bán: 4.85 tỷ tl.-liên hệ: mr dung  ( mtg)- cty bđs vingrand center chi nhánh tp đà nẵng.- -địa chỉ: tt dvtm savico 66 võ văn tần, q. thanh khê, đà nẵng.","bán lô đất mt đường dương tử giang, phường, khuê mỹ, quận ngũ hành sơn, đà nẵng. diện tích 90m2 ( 5m x 18m). đất trống, đường 7m5, lề 4m. vị trí nằm ở khu nam việt á, đầy đủ dịch vụ tiện ích xung quanh, cảnh quan đến thiết kế và môi trường, tạo sức hút vô cùng đặc biệt tới khách hàng, các nhà đầu tư trong và ngoài đà nẵng. giá bán 4.85 tỷ tl. liên hệ mr dung ( mtg) cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần, q. thanh khê, đà nẵng."
3,"-diện tích: 8.75 x 18m = 150m².-đường 7m5 lề 4m.-- kết cấu nhà 2 tầng đầy đủ công năng.--khu vực nhà cửa đông đúc, cách sông chỉ tầm 250m, khu an ninh cao, thích hợp ở, hoặc kinh doanh dịch vụ lưu trú.-giá bán chính chủ: 8.2 tỷ tl-liên hệ: mr dung  ( mtg)- cty bđs vingrand center chi nhánh tp đà nẵng.- -địa chỉ: tt dvtm savico 66 võ văn tần, q. thanh khê, đà nẵng.","diện tích 8.75 x 18m 150m2. đường 7m5 lề 4m. kết cấu nhà 2 tầng đầy đủ công năng. khu vực nhà cửa đông đúc, cách sông chỉ tầm 250m, khu an ninh cao, thích hợp ở, hoặc kinh doanh dịch vụ lưu trú. giá bán chính chủ 8.2 tỷ tl liên hệ mr dung ( mtg) cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần, q. thanh khê, đà nẵng."
4,"- diện tích: 96.5m² (7.5m x 12.9m). nở hậu 8.2m. kết cấu nhà 3 tầng gồm 6pn, 5wc.- hướng đông nam. đường 7m5, lề 4m.- vị trí: gần bệnh viện đa khoa cẩm lề, chợ hòa cầm,- giá bán: 6 tỷ tl.- lh em để xem nhà và làm việc chính chủ.- kim dung (mtg).- cty bđs vingrand center chi nhánh tp đà nẵng.- địa chỉ: tt dvtm savico 66 võ văn tần, q thanh khê, đà nẵng.","diện tích 96.5m2 (7.5m x 12.9m). nở hậu 8.2m. kết cấu nhà 3 tầng gồm 6pn, 5wc. hướng đông nam. đường 7m5, lề 4m. vị trí gần bệnh viện đa khoa cẩm lề, chợ hòa cầm, giá bán 6 tỷ tl. lh em để xem nhà và làm việc chính chủ. kim dung (mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần, q thanh khê, đà nẵng."
5,"-diện tích: 97m2 ( 5m x 19.4). kết cấu nhà 2 tầng gồm 2 pn, 2 wc.-hướng đông nam. -vị trí: gần duy tân, đường phan thành tài  kiệt ô tô vào tận nhà, thuận tiện di chuyển.-giá bán: 4 tỷ tl.-lh em để xem nhà và làm việc chính chủ.-mrs. dung - ( mtg).-       cty bđs vingrand center chi nhánh tp đà nẵng.-        địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","diện tích 97m2 ( 5m x 19.4). kết cấu nhà 2 tầng gồm 2 pn, 2 wc. hướng đông nam. vị trí gần duy tân, đường phan thành tài kiệt ô tô vào tận nhà, thuận tiện di chuyển. giá bán 4 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung ( mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
6,"-bán đất đường vũ quỳnh, hòa minh, liên chiểu.-diện tích: 75m2 ( 5m x 15m). đất trống. đường 5m5, lề 3m.-vị trí: ngay đầu đường hồ quý ly, sát biển nguyễn tât thành.-giá bán: 3.8 tỷ tl.-lh em để xem nhà và làm việc chính chủ.- mrs. dung - ( mtg). -cty bđs vingrand center chi nhánh tp đà nẵng.- địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng-","bán đất đường vũ quỳnh, hòa minh, liên chiểu. diện tích 75m2 ( 5m x 15m). đất trống. đường 5m5, lề 3m. vị trí ngay đầu đường hồ quý ly, sát biển nguyễn tât thành. giá bán 3.8 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung ( mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
7,"-bán đất đường vũ quỳnh, hòa minh, liên chiểu.-diện tích: 75m2 ( 5m x 15m). đất trống. đường 5m5, lề 3m.-vị trí: ngay đầu đường hồ quý ly, sát biển nguyễn tât thành.-giá bán: 3.8 tỷ tl.-lh em để xem nhà và làm việc chính chủ.- mrs. dung - ( mtg). -cty bđs vingrand center chi nhánh tp đà nẵng.- địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","bán đất đường vũ quỳnh, hòa minh, liên chiểu. diện tích 75m2 ( 5m x 15m). đất trống. đường 5m5, lề 3m. vị trí ngay đầu đường hồ quý ly, sát biển nguyễn tât thành. giá bán 3.8 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung ( mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
8,"-bán đất mt đường hồ quý ly, phường hòa minh, quận liên chiểu.-diện tích: 95m2 ( 5m x19m). đất trống. hướng tây bắc. đường 10m5, lề 5m.-vị trí: ngay đầu đường nguyễn tất thành,  chợ phú lộc.-giá bán: 6.8 tỷ tl.-lh em để xem nhà và làm việc chính chủ.- mrs. dung - ( mtg). -cty bđs vingrand center chi nhánh tp đà nẵng.- địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng","bán đất mt đường hồ quý ly, phường hòa minh, quận liên chiểu. diện tích 95m2 ( 5m x19m). đất trống. hướng tây bắc. đường 10m5, lề 5m. vị trí ngay đầu đường nguyễn tất thành, chợ phú lộc. giá bán 6.8 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung ( mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
9,"-diện tích: 115m2 ( 5m x 23m). kết cấu nhà 3 tầng . dtsd 308m2. đường 24m, vỉa hè rộng 6m.-vị trí kinh doanh thuộc dạng hàng đầu đà nẵng, gần ngân hàng, bệnh viện, trung tâm mua sắm và nhiều tiện ích khác. có sẵn nhà có thể cho thuê, làm mặt bằng kinh doanh văn phòng cực kỳ tốt,-giá bán: 12.5 tỷ tl.-lh em để xem nhà và làm việc chính chủ.- mrs. dung - ( mtg). -cty bđs vingrand center chi nhánh tp đà nẵng.- địa chỉ: tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng-","diện tích 115m2 ( 5m x 23m). kết cấu nhà 3 tầng . dtsd 308m2. đường 24m, vỉa hè rộng 6m. vị trí kinh doanh thuộc dạng hàng đầu đà nẵng, gần ngân hàng, bệnh viện, trung tâm mua sắm và nhiều tiện ích khác. có sẵn nhà có thể cho thuê, làm mặt bằng kinh doanh văn phòng cực kỳ tốt, giá bán 12.5 tỷ tl. lh em để xem nhà và làm việc chính chủ. mrs. dung ( mtg). cty bđs vingrand center chi nhánh tp đà nẵng. địa chỉ tt dvtm savico 66 võ văn tần,q thanh khê, đà nẵng"
