,Mô tả,text_cleaned
0,"bán nhà đường thanh long, phường thanh bình, quận hải châu, đà nẵng.+ dt: 63m2 (4.7m x 13.3m). hướng tây bắc. đường 5m5, vỉa hè 2m.+ nhà 4 tầng, 4 phòng ngủ, 3 wc, có chỗ đậu ô tô. thiết kế hiện đại, full nội thất cao cấp. cho thuê 20 triệu/tháng!+ cách chợ đống đa 500m, bệnh viện đa khoa 1.5km, sân bay 5km, trạm y tế 100m. cách trường c1 - c2 200m, trường c3 1km.giá bán: 7.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán nhà đường thanh long, phường thanh bình, quận hải châu, đà nẵng. dt 63m2 (4.7m x 13.3m). hướng tây bắc. đường 5m5, vỉa hè 2m. nhà 4 tầng, 4 phòng ngủ, 3 wc, có chỗ đậu ô tô. thiết kế hiện đại, full nội thất cao cấp. cho thuê 20 triệu/tháng cách chợ đống đa 500m, bệnh viện đa khoa 1.5km, sân bay 5km, trạm y tế 100m. cách trường c1 c2 200m, trường c3 1km.giá bán 7.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
1,"bán nhà đường thanh thủy, phường thanh bình, quận hải châu, đà nẵng.+ dt: 96m2 (11m x 8.7m). hướng tây. đường 7m5, vỉa hè 1m.+ kết cấu nhà đẹp 3.5 tầng, thiết kế hiện đại, có sân thượng, tum thang, tổng diện tích sàn 421,38m².+ nhà có 06 phòng ngủ, 05 phòng wc, 1 gara, 1 phòng khách, 1 phòng shc, sân phơi...+ nhà có chiếu sáng tự nhiên và thông gió tự nhiên tối ưu.+ nhà có hệ thống điện năng lượng mặt trời xoay tự động theo mặt trời, dư điện dùng sinh hoạt.+ nhà có mái thông gió trượt tự động theo thời tiết.giá bán: 13.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán nhà đường thanh thủy, phường thanh bình, quận hải châu, đà nẵng. dt 96m2 (11m x 8.7m). hướng tây. đường 7m5, vỉa hè 1m. kết cấu nhà đẹp 3.5 tầng, thiết kế hiện đại, có sân thượng, tum thang, tổng diện tích sàn 421,38m2. nhà có 06 phòng ngủ, 05 phòng wc, 1 gara, 1 phòng khách, 1 phòng shc, sân phơi... nhà có chiếu sáng tự nhiên và thông gió tự nhiên tối ưu. nhà có hệ thống điện năng lượng mặt trời xoay tự động theo mặt trời, dư điện dùng sinh hoạt. nhà có mái thông gió trượt tự động theo thời tiết.giá bán 13.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
2,"bán nhà đường thanh thủy, phường thanh bình, quận hải châu, đà nẵng+ diện tích 130m2(5m x 26m). dtsd: 340m2. hướng đông nam. đường 7m5, vỉa hè 3m.+ nhà thiết kế 3 tầng, mê lệch thông thoáng. đặc biệt có sân vườn rau xanh, sạch, đẹp (43m2) và để được 2 ô tô trong nhà.+ vị trí đoạn gần đường ông ích khiêm, gần biển nguyễn tất thành. khu vực dân trí cao, an ninh tốt, xung quanh đa tiện ích.+ thích hợp khách mua ở, kết hợp làm văn phòng hoặc kinh doanh…giá bán: 13.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán nhà đường thanh thủy, phường thanh bình, quận hải châu, đà nẵng diện tích 130m2(5m x 26m). dtsd 340m2. hướng đông nam. đường 7m5, vỉa hè 3m. nhà thiết kế 3 tầng, mê lệch thông thoáng. đặc biệt có sân vườn rau xanh, sạch, đẹp (43m2) và để được 2 ô tô trong nhà. vị trí đoạn gần đường ông ích khiêm, gần biển nguyễn tất thành. khu vực dân trí cao, an ninh tốt, xung quanh đa tiện ích. thích hợp khách mua ở, kết hợp làm văn phòng hoặc kinh doanh...giá bán 13.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
3,"bán nhà đường thanh hải, phường thanh bình, quận hải châu, đà nẵng.+ dt: 179m2 (8.7m x 17.5m). hướng nam. đường 7m5, vỉa hè 3m.+ nhà 3 tầng kiên cố với 6 phòng ngủ (có wc riêng) - bếp - phòng thờ - gara ô tô - phòng khách - phòng xông hơi - 1 wc chung,...đầy đủ công năng+ gần biển nguyễn tất thành nên không khí trong lành - thoáng mát quanh nămgiá bán: 20.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán nhà đường thanh hải, phường thanh bình, quận hải châu, đà nẵng. dt 179m2 (8.7m x 17.5m). hướng nam. đường 7m5, vỉa hè 3m. nhà 3 tầng kiên cố với 6 phòng ngủ (có wc riêng) bếp phòng thờ gara ô tô phòng khách phòng xông hơi 1 wc chung,...đầy đủ công năng gần biển nguyễn tất thành nên không khí trong lành thoáng mát quanh nămgiá bán 20.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
4,"bán nhà đường mỹ đa đông 4, phường mỹ an, quận ngũ hành sơn, đà nẵng.+ dt: 100m2 (5x20). hướng tây bắc+ nhà 3 tầng, 4 phòng ngủ, 3 wc, có sân vườn . khu dân cư văn minh , gần chợ , trường học , gần biển du lịch, gần sông . . . nhà kiên cố , kiến trúc đẹp , thông thoáng.giá bán: 6.3 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán nhà đường mỹ đa đông 4, phường mỹ an, quận ngũ hành sơn, đà nẵng. dt 100m2 (5 x 20). hướng tây bắc nhà 3 tầng, 4 phòng ngủ, 3 wc, có sân vườn . khu dân cư văn minh , gần chợ , trường học , gần biển du lịch, gần sông . . . nhà kiên cố , kiến trúc đẹp , thông thoáng.giá bán 6.3 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
5,"bán nhà đường nguyễn hữu thọ, phường hòa thuận tây, quận hải châu, đà nẵng.+ dt: 85,1m2 (4x20.6). hướng tây nam. đường 33m. lề 5m.+ nhà 3 tầng còn mới đẹp.+ vị trí đắc địa, đối diện bv quân y 17, gần bv gia đình, gần đường lớn 30/4, siêu thị chợ lớn, sân bay. khu dân cư đông đúc, dân trí cao, an ninh tốt.tiện ích xung quanh đầy đủ như chợ, siêu thị, trường học các cấp và cơ quan.+ thuận lợi cho việc kinh doanh buôn bán, mở văn phòng công ty, showroom .giá bán: 12.3 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán nhà đường nguyễn hữu thọ, phường hòa thuận tây, quận hải châu, đà nẵng. dt 85,1m2 (4 x 20.6). hướng tây nam. đường 33m. lề 5m. nhà 3 tầng còn mới đẹp. vị trí đắc địa, đối diện bv quân y 17, gần bv gia đình, gần đường lớn 30/4, siêu thị chợ lớn, sân bay. khu dân cư đông đúc, dân trí cao, an ninh tốt.tiện ích xung quanh đầy đủ như chợ, siêu thị, trường học các cấp và cơ quan. thuận lợi cho việc kinh doanh buôn bán, mở văn phòng công ty, showroom .giá bán 12.3 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
6,"bán nhà đường k20, phường khuê mỹ, quận ngũ hành sơn, đà nẵng.+ dt: 136m2 (5.3m x 25.7m). hướng đông nam.+ nhà  3 tầng, đầy đủ nội thất, 7 phòng ngủ. + giáp bệnh viện 600 giường, cách lê văn hiến 50m. thích hợp xây nhà nghỉ, căn hộ, hoặc kinh doanh buôn bán.giá bán: 6.7  tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán nhà đường k20, phường khuê mỹ, quận ngũ hành sơn, đà nẵng. dt 136m2 (5.3m x 25.7m). hướng đông nam. nhà 3 tầng, đầy đủ nội thất, 7 phòng ngủ. giáp bệnh viện 600 giường, cách lê văn hiến 50m. thích hợp xây nhà nghỉ, căn hộ, hoặc kinh doanh buôn bán.giá bán 6.7 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
7,"bán đất đường kinh dương vương, phường hòa minh, quận liên chiểu, đà nẵng+ diện tích: 198m² (9x22m). hướng tây nam. đường 15m, vỉa hè 6m.+ tọa lạc vị trí đẹp tuyến đường huyết mạch quận liên chiểu, khu vực kinh doanh buôn bán sầm uất đa dạng ngành nghề, thích hợp kinh doanh các mặt hàng, gần nguyễn sinh sắc, biển nguyễn tất thành.+ sản phẩm phù hợp kh mua đầu tư xây dựng villa, căn hộ, khách sạn, cửa hàng.giá bán: 12.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán đất đường kinh dương vương, phường hòa minh, quận liên chiểu, đà nẵng diện tích 198m2 (9 x 22m). hướng tây nam. đường 15m, vỉa hè 6m. tọa lạc vị trí đẹp tuyến đường huyết mạch quận liên chiểu, khu vực kinh doanh buôn bán sầm uất đa dạng ngành nghề, thích hợp kinh doanh các mặt hàng, gần nguyễn sinh sắc, biển nguyễn tất thành. sản phẩm phù hợp kh mua đầu tư xây dựng villa, căn hộ, khách sạn, cửa hàng.giá bán 12.5 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
8,"bán căn hộ đường phạm đình hổ, phường hòa minh, quận liên chiểu, đà nẵng+ dt: 87.5m2 (5x17.5). hướng đông nam. đường 7m5, vỉa hè 4m.+ căn hộ 5 tầng, có thang máy đầy đủ, gồm 12 căn hộ tiện nghi và nội thất đầy đủ, thu nhập trên 45 triệu/tháng, full phòng liên tục.+  gần trường học, cách chợ 100m rất thuận tiện, cách biển 200m. giá bán: 6.8 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán căn hộ đường phạm đình hổ, phường hòa minh, quận liên chiểu, đà nẵng dt 87.5m2 (5 x 17.5). hướng đông nam. đường 7m5, vỉa hè 4m. căn hộ 5 tầng, có thang máy đầy đủ, gồm 12 căn hộ tiện nghi và nội thất đầy đủ, thu nhập trên 45 triệu/tháng, full phòng liên tục. gần trường học, cách chợ 100m rất thuận tiện, cách biển 200m. giá bán 6.8 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
9,"bán đất đường bùi tá hán, phường khuê mỹ, quận ngũ hành sơn, đà nẵng.+ diện tích: 113.75m2 (5m x 22.75m). đất trống. + hướng tây bắc. đường 15m , lề 5m.+ vị trí: trục đường chính của khu nam việt á, gần tổng lãnh sứ quán hàn quốc.giá bán: 8 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng: 0972.884.10năm (ngọc linh)","bán đất đường bùi tá hán, phường khuê mỹ, quận ngũ hành sơn, đà nẵng. diện tích 113.75m2 (5m x 22.75m). đất trống. hướng tây bắc. đường 15m , lề 5m. vị trí trục đường chính của khu nam việt á, gần tổng lãnh sứ quán hàn quốc.giá bán 8 tỷ lh em dẫn đi xem thực tế và gặp chủ thương lượng 0972.884.10năm (ngọc linh)"
